date,data
Jan-04,24
Feb-04,27
Mar-04,26
Apr-04,38
May-04,33
Jun-04,21
Jul-04,31
Aug-04,31
Sep-04,31
Oct-04,25
Nov-04,30
Dec-04,31
Jan-05,23
Feb-05,27
Mar-05,24
Apr-05,34
May-05,28
Jun-05,23
Jul-05,27
Aug-05,29
Sep-05,26
Oct-05,22
Nov-05,21
Dec-05,18
Jan-06,19
Feb-06,21
Mar-06,20
Apr-06,19
May-06,26
Jun-06,29
Jul-06,23
Aug-06,22
Sep-06,20
Oct-06,23
Nov-06,21
Dec-06,17
Jan-07,16
Feb-07,16
Mar-07,22
Apr-07,21
May-07,23
Jun-07,19
Jul-07,23
Aug-07,22
Sep-07,19
Oct-07,22
Nov-07,16
Dec-07,16
Jan-08,19
Feb-08,19
Mar-08,18
Apr-08,21
May-08,20
Jun-08,19
Jul-08,22
Aug-08,19
Sep-08,24
Oct-08,18
Nov-08,20
Dec-08,18
Jan-09,20
Feb-09,23
Mar-09,19
Apr-09,21
May-09,19
Jun-09,22
Jul-09,23
Aug-09,22
Sep-09,24
Oct-09,20
Nov-09,20
Dec-09,20
Jan-10,22
Feb-10,18
Mar-10,22
Apr-10,24
May-10,23
Jun-10,37
Jul-10,26
Aug-10,24
Sep-10,22
Oct-10,24
Nov-10,26
Dec-10,22
Jan-11,21
Feb-11,21
Mar-11,22
Apr-11,22
May-11,24
Jun-11,26
Jul-11,25
Aug-11,25
Sep-11,27
Oct-11,25
Nov-11,26
Dec-11,23
Jan-12,23
Feb-12,26
Mar-12,28
Apr-12,28
May-12,28
Jun-12,27
Jul-12,28
Aug-12,30
Sep-12,29
Oct-12,24
Nov-12,26
Dec-12,22
Jan-13,27
Feb-13,24
Mar-13,28
Apr-13,30
May-13,24
Jun-13,25
Jul-13,28
Aug-13,26
Sep-13,26
Oct-13,25
Nov-13,25
Dec-13,23
Jan-14,25
Feb-14,27
Mar-14,26
Apr-14,55
May-14,34
Jun-14,32
Jul-14,27
Aug-14,28
Sep-14,29
Oct-14,27
Nov-14,25
Dec-14,25
Jan-15,26
Feb-15,22
Mar-15,26
Apr-15,28
May-15,28
Jun-15,27
Jul-15,22
Aug-15,28
Sep-15,26
Oct-15,27
Nov-15,27
Dec-15,24
Jan-16,26
Feb-16,27
Mar-16,30
Apr-16,30
May-16,28
Jun-16,29
Jul-16,28
Aug-16,30
Sep-16,31
Oct-16,30
Nov-16,29
Dec-16,64
Jan-17,76
Feb-17,77
Mar-17,83
Apr-17,79
May-17,68
Jun-17,71
Jul-17,74
Aug-17,72
Sep-17,75
Oct-17,73
Nov-17,75
Dec-17,72
Jan-18,81
Feb-18,91
Mar-18,86
Apr-18,81
May-18,82
Jun-18,92
Jul-18,85
Aug-18,91
Sep-18,87
Oct-18,84
Nov-18,79
Dec-18,77
Jan-19,81
Feb-19,32
Mar-19,36
Apr-19,86
May-19,85
Jun-19,89
Jul-19,93
Aug-19,95
Sep-19,84
Oct-19,88
Nov-19,83
Dec-19,81
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
